koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_impact,koi_steff,koi_slogg,koi_srad,koi_period_err1,koi_depth_err1,koi_duration_err1,label
9.48803557,2.9575,615.8,35.8,2.26,1.0,0,0,0,0,0.146,5455.0,4.467,0.927,2.775e-05,19.5,0.0819,transit
54.4183827,4.507,874.8,25.8,2.83,0.969,0,0,0,0,0.586,5455.0,4.467,0.927,0.0002479,35.5,0.116,transit
19.89913995,1.7822,10829.0,76.3,14.6,0.0,0,1,0,0,0.969,5853.0,4.544,0.868,1.494e-05,171.0,0.0341,eclipsing_binary
1.736952453,2.40641,8079.2,505.6,33.46,0.0,0,1,0,0,1.276,5805.0,4.564,0.791,2.63e-07,12.8,0.00537,eclipsing_binary
2.525591777,1.6545,603.3,40.9,2.75,1.0,0,0,0,0,0.701,6031.0,4.438,1.046,3.761e-06,16.9,0.042,transit
11.09432054,4.5945,1517.5,66.5,3.9,1.0,0,0,0,0,0.538,6046.0,4.486,0.972,2.036e-05,24.2,0.061,transit
4.13443512,3.1402,686.0,40.2,2.77,1.0,0,0,0,0,0.762,6046.0,4.486,0.972,1.046e-05,18.7,0.0673,transit
2.56658897,2.429,226.5,15.0,1.59,0.992,0,0,0,0,0.755,6046.0,4.486,0.972,1.781e-05,16.8,0.165,transit
7.36178958,5.022,233.7,47.7,39.21,0.0,0,1,1,0,1.169,6227.0,3.986,1.958,2.128e-05,5.8,0.136,eclipsing_binary
16.06864674,3.5347,4914.3,161.9,5.76,1.0,0,0,0,0,0.052,5031.0,4.485,0.848,1.088e-05,33.3,0.0241,transit
2.470613377,1.74319,14231.0,4304.3,13.04,0.811,0,0,0,0,0.818,5820.0,4.457,0.964,2.7e-08,4.2,0.00107,transit
2.204735417,3.88864,6674.7,5945.9,16.1,1.0,0,1,0,0,0.224,6440.0,4.019,1.952,4.3e-08,1.7,0.00203,transit
3.522498429,3.19843,9145.7,1741.5,14.59,0.998,0,0,0,0,0.631,6225.0,4.169,1.451,1.98e-07,6.6,0.00653,transit
3.709214104,2.6302,131.1,50.6,1.16,1.0,0,0,0,0,0.051,5833.0,4.407,1.022,6.536e-06,3.0,0.0427,transit
