TIC ID,TOI,Period (days),Duration (hours),Depth (mmag),Planet SNR,Sectors,label
231663901,101.01,1.43036994965074,1.61659940399439,20.784,151.72173,"1,27,67",transit
149603524,102.01,4.411937227697335,3.6321284820569266,16.091885,3217.1734627901774,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,62,64,65,68,69,87,88,89,94,95,96,97",transit
336732616,103.01,3.547854,3.494333,11.377523,59.5,1,transit
231670397,104.01,4.0872956,5.5861130474761,3.885379,48.678577,"1,27,67",transit
144065872,105.01,2.1846669193825514,2.698910187683677,12.597361,213.41096142880195,"1,28,95",transit
38846515,106.01,2.849382725978083,3.5488879829477424,8.436824,2972.8537617525035,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,67,68,69,87,88,89,90,94,95,13625,53",transit
92352620,107.01,3.9502008,4.444,15.213018,205.0,"1,27,68",transit
289793076,108.01,3.0440494555695627,2.6523471778876777,25.049143,73.85645,"1,28,68,92",transit
29344935,109.01,2.76676000983202,2.68721776988127,16.351489,41.24269,"1,28,68",transit
281459670,110.01,3.17435042404771,2.75108595936913,16.913636,99.91275,"1,2,28,29,68",transit
355703913,111.01,2.10615687963452,1.46889344987231,13.263943,38.7845,"1,2,28,68",transit
388104525,112.01,2.49979959810286,2.865171019079,15.991971,375.26334,"1,2,3,4,7,11,27,28,29,30,31,34,37,61,62,63,64,65",transit
97409519,113.01,3.372877,2.63426,18.796923,81.3,1,transit
25155310,114.01,3.28878982693448,3.43677173022605,7.633138,557.429,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,63,64,65,66,67,68,69",transit
281541555,115.01,4.74237090118084,2.49881451802706,13.823066,50.48632,"1,2,28,29,68,69",transit
238176110,116.01,2.79858018416552,2.38010434405069,18.294525,380.53317,"1,27,28,67,68",transit
322307342,117.01,3.58629619986471,3.37109429721186,6.238423,32.356964,"1,2,28,29",transit
266980320,118.01,6.034463389519887,2.0529009652903087,1.902405,140.66056924530002,"1,28,68,95",transit
278683844,119.01,5.541111261791256,2.4142561257266726,0.648736,605.9101620045657,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,13369,57,97",transit
278683844,119.02,10.691729973801827,3.0528284112319444,0.541393,257.57532456096726,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,13369,57,97",transit
394137592,120.01,11.535076,8.555958,2.597913,32.9,1,transit
207081058,121.01,14.7741056,5.504,16.454618,80.0,"1,28,68",transit
231702397,122.01,5.07803253491997,1.21003530701906,6.450076,15.281929,"1,27,28,67,68",transit
290131778,123.01,3.3088922,6.114,5.154262,133.0,"1,28,68",transit
29831208,124.01,1.8428078,1.449,2.119253,66.0,"1,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,33,34,35,36,37,38,39,62,63,64",transit
52368076,125.01,4.6517186,2.709,1.06237,26.0,"1,2,28,68,69",transit
52368076,125.02,9.1549418,2.457,1.196054,18.0,"1,2,28,68,69",transit
52368076,125.03,19.9815709,2.724,0.987383,10.0,"1,2,28,68,69",transit
52368076,125.04,0.0,4.623521076986186,0.802403,8.09336,"1,2,28,68,69",transit
70440470,126.01,3.0354016524572702,2.8809533412746515,17.728778,87.98231,"1,28,68",transit
234523599,127.01,3.79551778380905,2.01981348473053,58.298733,75.709694,"1,2,28,29",transit
391949880,128.01,4.9404714,1.954,0.494122,43.0,"1,8,11,12,13,27,28,31,38,39,61,62,65,66,67,68",transit
201248411,129.01,0.980972,0.54050355175474,6.728913,167.35898,"1,2,28,29,68,69",transit
263003176,130.01,14.3392144225603,4.60647385532854,0.426381,32.31029,"1,12,13,27,39,66",transit
235037761,131.01,6.2407826,1.513,6.658567,14.0,"1,28,68",transit
89020549,132.01,2.1096804606002526,2.134404262210766,1.422953,23.500671,"1,28,68",transit
219338557,133.01,8.19953684997134,2.11682774509722,0.981264,14.419014,"1,28,68",transit
234994474,134.01,1.40151826016575,1.15830613665695,0.644852,20.450527,"1,28,68",transit
267263253,135.01,4.1269046,4.405,11.823757,389.0,"1,27,28,67,68",transit
410153553,136.01,0.4629303673466454,0.5409433291326444,4.90483,51.16733,"1,27,28,67,68",transit
176957796,137.01,4.8173797,1.323,1.956086,1000.0,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31",noise
277683130,138.01,6.1982658,1.912,4.23829,93.0,"1,27,28,67,68",transit
62483237,139.01,11.0708575296637,2.19376165846134,1.249025,12.694616,"1,28,68",transit
140068425,140.01,2.28134318322299,1.16019326329961,1.223947,13.736684,"1,28,68",transit
403224672,141.01,1.0082361,1.41,0.247576,26.0,"1,27,28,68",transit
425934411,142.01,0.853353400370258,1.20187368372282,27.577917,37.0026,"1,2,28,29,68,69",transit
25375553,143.01,2.31096889835692,3.43038207029443,7.440388,189.12912,"1,28,68",transit
261136679,144.01,6.267832,2.789,0.348577,53.0,"1,4,8,11,12,13,27,28,31,34,38,39,61,62",transit
265612438,145.01,5.13002,4.78,3.671647,22.0,"1,27,28",transit
355636844,146.01,6.30556,2.946,0.934135,17.0,"1,2,28",false_positive
220435095,147.01,3.42310017313899,2.43775826059659,9.424918,147.44981,"13,27,28,29,30,32,33,34,35,36,37,38,39,62,63,64,65,67,68,69",false_positive
393940766,148.01,4.8670758049795095,3.188354623877305,5.404993,20.184168,"28,68",transit
260985861,149.01,3.33994317642266,4.25347040913592,9.897027,117.076,"11,12,13,27,28,38,39,61,62,65,66,67,68",transit
271893367,150.01,5.85740753759727,5.85480292934519,7.069098,157.52177,"9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,39,61,62",transit
382302241,151.01,1.59782,1.49,1.862211,32.0,1,false_positive
403287048,152.01,7.00776,2.68,3.988702,16.0,1,false_positive
231081369,153.01,7.6316384,2.054,4.984094,45.0,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,30,31,32,33,34,35,36,37,38,61,62,63,65,67",transit
389525208,154.01,6.74657,1.803,3.229435,31.0,"1,27",false_positive
129637892,155.01,5.4499753,4.319,1.056936,26.0,"1,28,68",transit
220518305,156.01,14.152037719003577,3.143991024100272,3.458639,180.77679250385177,"1,3,28,29,30,68,69,95,96,97",false_positive
140691463,157.01,2.08454341779798,2.01703803867042,13.662544,371.14728,"9,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69",transit
403136413,158.01,2.51266,2.411,3.033449,22.0,1,false_positive
394657039,159.01,3.7628372,3.956,12.404555,297.0,"1,2,12,13,28,32,39",transit
253917293,160.01,4.608,3.383,3.494326,25.0,1,false_positive
348770361,161.01,2.7684331,4.223,3.517067,45.0,"1,12,13,27,28,39",transit
99493790,162.01,7.764691,3.185,26.965206,36.0,"1,28",transit
179317684,163.01,4.2311172621589,4.35316354320607,7.912593,371.85303,"9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,68,69",transit
79395355,164.01,7.31898,3.771,4.143792,17.0,1,false_positive
350743714,165.01,7.757643018862346,2.856135586159398,7.995076,2983.8866432653754,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89",false_positive
147203645,166.01,5.06113147515493,1.55624141946912,5.743547,39.23764,"1,28,68",transit
