flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
0.99550253,0.0019976445,21883,0.99550253,0.9967667,0.0019976445,4096,35,2065.9324,1021.66815,881.36,1370.17,0.99829566,0.9961138
0.9971196,0.0019976445,21884,0.9971196,0.9983913,0.0019976445,4096,35,2065.9312,1021.6647,422.12,1704.53,0.9992861,0.998693
0.9991937,0.0019976445,21885,0.9991937,1.0004674,0.0019976445,4096,35,2065.9297,1021.66254,6.54,1495.51,1.0006669,1.0004357
1.0038753,0.0019976445,21886,1.0038753,1.005149,0.0019976445,4096,35,2065.929,1021.65985,-665.24,1739.65,1.0030121,1.0070127
0.99866074,0.0019976445,21887,0.99866074,0.99991655,0.0019976445,4096,35,2065.9294,1021.66345,213.95,1534.01,0.9997295,0.9996452
0.9991795,0.0019976445,21888,0.9991795,1.00042,0.0019976445,4096,35,2065.9312,1021.66174,-8.74,1106.65,1.0002697,1.0008559
0.9976806,0.0019976445,21889,0.9976806,0.99889916,0.0019976445,4096,35,2065.9277,1021.66437,204.35,1712.4,0.99960923,0.9981966
0.99877614,0.0019976445,21890,0.99877614,0.99997014,0.0019976445,4096,35,2065.9297,1021.66095,-129.75,1537.57,0.99924666,1.0001186
1.0017322,0.0019976445,21891,1.0017322,1.0028993,0.0019976445,4096,35,2065.931,1021.66406,-469.45,1356.29,1.001629,1.0041139
0.99863714,0.0019976445,21892,0.99863714,0.9997664,0.0019976445,4096,35,2065.9302,1021.66046,161.23,1123.34,0.9999754,0.9989167
0.9980305,0.0019976445,21893,0.9980305,0.9991211,0.0019976445,4096,35,2065.9292,1021.6611,138.38,1782.7,0.9986465,0.99812907
0.99719316,0.0019976445,21894,0.99719316,0.9982404,0.0019976445,4096,35,2065.929,1021.6614,206.35,1692.1,0.9987895,0.9971765
