TIC ID,TFOPWG Disposition
231663901,KP
149603524,KP
336732616,KP
231670397,KP
144065872,KP
38846515,KP
92352620,KP
289793076,KP
29344935,KP
281459670,KP
355703913,KP
388104525,KP
97409519,KP
25155310,KP
281541555,KP
238176110,KP
322307342,KP
266980320,CP
278683844,PC
278683844,PC
394137592,CP
207081058,APC
231702397,CP
290131778,CP
29831208,APC
52368076,CP
52368076,CP
52368076,CP
52368076,PC
70440470,KP
234523599,CP
391949880,CP
201248411,CP
263003176,CP
235037761,APC
89020549,CP
219338557,PC
234994474,CP
267263253,CP
410153553,CP
176957796,FA
277683130,APC
62483237,CP
140068425,APC
403224672,CP
425934411,PC
25375553,KP
261136679,CP
265612438,PC
355636844,FP
220435095,FP
260985861,PC
271893367,CP
382302241,FP
403287048,FP
231081369,APC
389525208,FP
129637892,PC
220518305,FP
140691463,CP
403136413,FP
394657039,CP
253917293,FP
348770361,PC
99493790,APC
179317684,CP
79395355,FP
350743714,FP
147203645,PC
149990841,PC
369457671,PC
183120439,CP
394698182,PC
309257814,PC
309257814,FP
29857954,CP
270341214,PC
270341214,PC
425997655,CP
425997655,CP
425997655,CP
425997655,CP
425997655,CP
307210830,CP
307210830,CP
307210830,CP
272086159,FP
51912829,APC
183979262,FP
300871545,FP
279741379,CP
279741379,CP
260304296,APC
280830734,APC
278866211,FP
309792357,CP
410214986,CP
350618622,CP
350618622,PC
355509914,PC
259962054,FA
281781375,PC
281575427,PC
55650590,CP
260271203,FP
314865962,PC
52204645,APC
141608198,PC
300293197,APC
206609630,APC
234345288,PC
234345288,PC
167415965,PC
167415965,PC
231912935,PC
55652896,CP
55652896,CP
260043723,FP
32090583,PC
32090583,PC
260609205,FP
150098860,CP
316937670,FP
280095254,PC
237924601,APC
350445771,FP
122612091,KP
159951311,KP
219253008,PC
220479565,CP
259511357,APC
281979481,FP
373844472,APC
382188882,FP
38696105,PC
29781292,CP
29781292,CP
29781292,CP
382626661,CP
277103955,FP
150030205,CP
150030205,CP
201292545,PC
355637190,APC
206352378,PC
389753172,APC
198077394,PC
139285832,CP
233964642,APC
55452495,FP
280097543,PC
167418898,FP
300810086,FP
238059180,PC
92359850,FP
382391899,KP
328350926,APC
9858404,APC
38541473,APC
178155732,CP
178155732,CP
178155732,CP
219379012,FP
1129033,KP
35857242,KP
259701242,FP
166833457,KP
176984236,FP
153065527,CP
153065527,CP
349518800,APC
176778112,FP
167754523,FP
100990000,CP
100990000,CP
7624182,FP
170634116,KP
325680697,FP
152476657,KP
49899799,FP
339733013,FP
178284730,KP
279251651,FP
259592689,PC
44647437,PC
468880077,PC
179034327,CP
139528693,KP
257605131,CP
257605131,CP
257605131,CP
153077621,APC
98796344,CP
89256802,PC
64071894,PC
38603673,APC
4646810,CP
420049884,PC
176831592,FP
270380593,KP
156987351,PC
170102285,KP
339672028,CP
260708537,CP
31852980,PC
31852980,PC
452866790,CP
455135327,KP
468987719,KP
17746821,KP
19025965,PC
19519368,PC
22529346,KP
121338379,APC
123702439,APC
134200185,CP
134537478,KP
186812530,CP
219164808,FP
348538431,PC
453211454,CP
453211454,CP
238086647,APC
440777904,KP
308307606,FP
264979636,PC
218795833,CP
148479278,PC
27649847,CP
19451711,FA
403693875,FP
387690507,CP
144700903,CP
309791156,PC
238004786,PC
200322593,CP
311183180,FP
44737596,CP
161477033,PC
161477033,PC
407966340,CP
407966340,CP
170849515,CP
55488511,PC
209459275,CP
101011575,CP
101011575,CP
1003831,CP
1103432,APC
13349647,KP
270468559,KP
238061845,PC
81419525,PC
180987952,FP
131743355,PC
131979339,FP
294090620,FP
130415266,PC
412961700,FP
196286587,FP
146406806,PC
287329267,FP
81429971,FP
134396419,FP
141363913,PC
175176327,APC
262746281,CP
181304295,PC
122262940,FP
186547153,APC
134404603,APC
80275202,FP
154459165,FP
284738182,PC
173640199,PC
83092282,CP
399870368,CP
379929661,CP
65412605,CP
349790953,FP
133334108,PC
238197709,FP
82128636,APC
101955023,KP
151825527,CP
151959065,FP
158588995,CP
280206394,CP
294395926,PC
410450228,PC
462162948,PC
339857675,PC
339636032,FP
156991337,FP
55383975,FP
55559618,PC
77156829,CP
77156829,CP
77156829,CP
77253676,APC
141527579,PC
149302744,PC
149302744,PC
149302744,PC
150428135,CP
150428135,CP
150428135,CP
150428135,CP
237914496,PC
237928815,PC
237928815,PC
260004324,CP
391904697,PC
219345200,PC
167342439,PC
167342439,PC
391821647,FP
396720998,APC
396720998,PC
309402106,FP
38510224,PC
38510224,PC
150151262,CP
150151262,CP
150151262,CP
167600516,PC
167600516,PC
219195044,PC
219195044,PC
271971130,CP
150247134,FA
184952758,FP
38571020,PC
38509907,PC
177077336,PC
339961200,PC
410245915,FP
149788158,PC
146846569,FP
260304800,PC
279425357,PC
310009611,PC
359271092,CP
373424049,FP
444842193,APC
167418903,PC
15445551,KP
104024556,KP
5868998,APC
14614418,KP
14661418,KP
61538902,KP
61988212,APC
72985822,PC
73228647,CP
73228647,KP
73649615,CP
130924120,CP
131081852,FP
152147232,APC
162362398,APC
165317334,PC
165317334,PC
178709444,CP
178819686,CP
178819686,CP
181159386,APC
219401954,FA
219698950,KP
229047362,KP
229811538,APC
248075138,KP
248111245,KP
277634430,CP
286864983,PC
286864983,PC
286864983,PC
286865921,KP
294301883,KP
304042899,FP
306996324,CP
306996324,CP
334305570,PC
335630746,CP
374095457,PC
398943781,KP
413376180,KP
429358906,CP
451645081,PC
460984940,CP
374829238,PC
375059587,PC
375059587,PC
350584963,PC
349829627,PC
300710077,PC
300710077,PC
300710077,PC
308994098,PC
308994098,PC
308994098,PC
306472057,PC
306472057,PC
294780517,FP
300013921,FP
299945285,PC
278895705,PC
277099925,FA
271596225,PC
271596225,PC
271596225,PC
260640693,APC
255685030,PC
179308757,APC
177258735,PC
167303382,PC
143526444,FP
41227743,FP
38460940,PC
33831980,PC
30853470,PC
149301575,APC
388106759,PC
388106759,PC
55525572,CP
255760319,FP
30312676,FP
46096489,KP
73717937,KP
111991770,KP
125405602,FA
127530399,KP
127530399,CP
158978373,APC
193641523,CP
220029715,KP
243200602,KP
270507305,APC
271168962,KP
276128561,PC
281924357,PC
307610438,APC
350332997,FP
362249359,CP
404340025,KP
405700729,PC
440887364,CP
440887364,CP
460205581,CP
461271719,FP
466840711,KP
287563610,KP
238932509,PC
141768070,PC
437333618,KP
198008005,CP
150430484,PC
