tic_id,true_disposition,periodic_dip_found,classification,confidence,period_days,depth_ppm,duration_hours,sde
231670397,KP,True,candidate,95.7,4.0852,673.5,2.06,17.27
149603524,KP,False,candidate,99.5,0.8755,218.0,0.54,5.97
38846515,KP,True,candidate,91.1,2.8488,949.1,0.61,24.05
336732616,KP,True,candidate,65.1,3.5465,2107.6,0.76,22.49
231663901,KP,True,candidate,95.7,1.4309,4416.4,0.49,31.36
92352620,KP,True,candidate,99.5,3.9481,816.4,0.71,13.78
144065872,KP,True,candidate,99.8,2.1837,410.5,0.56,11.49
289793076,KP,True,transit,92.7,3.0448,13928.3,1.81,19.39
281459670,KP,True,transit,91.1,3.175,8351.5,2.03,17.26
29344935,KP,True,transit,84.8,2.7671,8793.4,1.8,17.95
388104525,KP,True,candidate,68.4,2.5007,1651.5,0.61,23.63
97409519,KP,True,candidate,50.4,3.3734,4413.2,0.74,30.11
25155310,KP,True,candidate,99.4,3.2872,791.3,0.76,16.54
281541555,KP,True,candidate,98.2,4.7449,8521.5,1.05,16.83
238176110,KP,True,candidate,99.0,2.7985,1113.5,0.67,17.74
322307342,KP,False,candidate,99.6,1.4502,983.0,0.56,6.73
266980320,CP,True,candidate,93.2,6.0335,927.3,1.43,21.84
278683844,PC,True,candidate,99.4,5.5452,339.6,0.87,9.08
394137592,CP,False,candidate,99.7,0.6276,66.0,0.17,5.22
231702397,CP,True,candidate,98.2,5.0765,5007.8,0.95,17.27
290131778,CP,True,candidate,99.8,3.3098,260.3,0.67,11.9
29831208,APC,True,candidate,95.2,1.8426,1762.5,1.0,20.56
52368076,CP,True,candidate,99.2,4.6523,546.7,2.74,13.59
70440470,KP,True,candidate,59.0,3.0353,7015.7,1.49,17.96
234523599,CP,True,candidate,68.8,3.7932,20985.2,0.78,23.47
201248411,CP,True,candidate,82.6,0.9809,5056.3,0.48,31.72
263003176,CP,False,candidate,90.5,11.4843,153.7,2.87,5.19
235037761,APC,True,candidate,76.5,6.2365,7210.1,0.95,22.79
89020549,CP,True,candidate,94.9,2.1086,854.7,1.68,17.69
219338557,PC,True,candidate,96.9,8.1969,660.8,1.92,13.24
234994474,CP,True,candidate,98.1,1.402,483.0,0.99,18.94
267263253,CP,True,candidate,99.3,8.2568,565.7,0.77,13.08
410153553,CP,True,candidate,84.1,0.9258,3948.9,0.45,25.42
176957796,FA,False,candidate,98.3,8.0056,1361.8,0.6,7.89
277683130,APC,True,candidate,86.0,6.195,1995.2,1.04,19.88
62483237,CP,True,candidate,88.2,11.0679,984.5,1.96,13.89
140068425,APC,True,candidate,99.6,2.2812,860.3,0.64,16.22
403224672,CP,True,candidate,87.3,1.0078,158.4,1.38,20.17
425934411,PC,True,candidate,93.8,0.8532,20234.0,0.66,23.58
261136679,CP,True,transit,50.5,6.2675,154.8,2.22,22.13
265612438,PC,False,candidate,98.5,5.1285,1619.1,7.24,4.89
355636844,FP,True,candidate,95.3,6.2941,866.0,2.27,13.69
220435095,FP,False,candidate,99.2,8.7645,1362.2,16.35,6.46
260985861,PC,True,candidate,96.2,3.3397,4640.5,4.11,13.47
271893367,CP,False,candidate,99.4,10.7787,697.2,14.55,8.21
403287048,FP,False,candidate,99.5,1.5776,726.0,0.45,5.37
231081369,APC,False,candidate,95.2,9.0917,5645.6,14.06,6.36
389525208,FP,False,candidate,100.0,13.2944,400.9,20.51,6.53
129637892,PC,False,candidate,99.5,5.449,534.8,0.81,8.17
220518305,FP,False,candidate,99.4,6.4152,269.7,8.47,6.09
